"Timestamp","When purchasing an electronic device do you consider how easy it would be to repair? ","If you answered ""sometimes"" to the above question could you please detail under what circumstances you would ","Would you ever purchase a broken electronic device with the intent to repair it for use? ","If an electronic device you own breaks would you attempt a repair before finding a replacement? ","Where would you source your instructions for the repair of an electronic device if you were to attempt one? (may select more than 1)","When repairing, what device would you be most likely to use to view instructions on? (select all that apply) ","What would prevent you from attempting a repair on an electronic device? (may select more than 1)","Do you think that modern electronic devices are harder to repair than older items? ","Do you believe that the right to repair should be protected and that manufacturers should be made to make their products repair-friendly? "
"2019/10/28 2:47:34 PM GMT+1","Sometimes","Known faults perhaps, or if it was a fairly mechanical device (e.g. washing machine as opposed to a USB flash drive).","Yes","Yes","Websites","Mobile phone / tablet","Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 2:48:46 PM GMT+1","No","","Yes","Yes","Websites;Book;prior general knowledge and disassembly","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 2:48:59 PM GMT+1","No","","Yes","Yes","Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 2:53:33 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 2:54:50 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 2:55:04 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools","Maybe","Yes"
"2019/10/28 2:57:15 PM GMT+1","Sometimes","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","No","Yes"
"2019/10/28 2:59:41 PM GMT+1","No","","No","No","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 2:59:43 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:00:15 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of skill","Yes","Yes"
"2019/10/28 3:00:41 PM GMT+1","No","","No","Maybe","Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","Yes","No"
"2019/10/28 3:01:55 PM GMT+1","No","","Yes","Yes","Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 3:03:48 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 3:04:04 PM GMT+1","Yes","","No","Yes","Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 3:04:59 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 3:05:42 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of skill","Maybe","Yes"
"2019/10/28 3:10:55 PM GMT+1","Sometimes","","No","Maybe","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Maybe","Unsure"
"2019/10/28 3:12:56 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Maybe","Unsure"
"2019/10/28 3:13:02 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 3:13:27 PM GMT+1","No","","No","No","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:14:06 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:17:19 PM GMT+1","Sometimes","If I expect it to require repair during its lifetime. For example to replace rechargeable batteries.","Yes","Yes","Websites;Youtube/Online Video;Open the item and figure it out, find the damages components etc.","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:18:27 PM GMT+1","Sometimes","Some smaller things like phones/tablets etc aren't something I'd attempt to repair. Bigger items such as washing machines/hand & power tools are more likely to be something I'd try and repair.","Maybe","Maybe","Websites;Youtube/Online Video","Television;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:20:34 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of skill","Yes","Yes"
"2019/10/28 3:21:21 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 3:21:33 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools","No","Unsure"
