"Timestamp","When purchasing an electronic device do you consider how easy it would be to repair? ","If you answered ""sometimes"" to the above question could you please detail under what circumstances you would ","Would you ever purchase a broken electronic device with the intent to repair it for use? ","If an electronic device you own breaks would you attempt a repair before finding a replacement? ","Where would you source your instructions for the repair of an electronic device if you were to attempt one? (may select more than 1)","When repairing, what device would you be most likely to use to view instructions on? (select all that apply) ","What would prevent you from attempting a repair on an electronic device? (may select more than 1)","Do you think that modern electronic devices are harder to repair than older items? ","Do you believe that the right to repair should be protected and that manufacturers should be made to make their products repair-friendly? "
"2019/10/28 6:19:37 PM GMT+1","Sometimes","If it has moving parts that are likely to wear ","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:22:05 PM GMT+1","No","","No","Yes","Youtube/Online Video","toaster, washing machine - not micro electronics","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:26:26 PM GMT+1","No","","No","No","Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 6:32:02 PM GMT+1","Sometimes","potential cost / complexity of the repair ","Yes","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:42:24 PM GMT+1","Sometimes","Not too complex, yes.  Things like a TV, tablet etc - no as they rarely go wrong and are all as tricky to repair as eachother.  I look for a good warranty in these cases.","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:44:02 PM GMT+1","Sometimes","","Maybe","Yes","Websites;Youtube/Online Video;Google search for service manuals etc","Television;Mobile phone / tablet;Computer / laptop;Power tools","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:44:58 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 6:46:25 PM GMT+1","No","","No","Yes","Websites","Mobile phone / tablet","Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 6:47:27 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:48:46 PM GMT+1","No","","No","Maybe","Youtube/Online Video","Computer / laptop","Design choices by the manufacturer","Yes","Yes"
"2019/10/28 6:49:26 PM GMT+1","No","","No","No","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:52:35 PM GMT+1","Sometimes","It depends on if I have the knowledge and the tools required, for example I can repair a lawnmower or hoover but I couldn't repair a hi fi or tv. ","Maybe","Yes","Websites","Hoover, lawnmower, coffee machine, dishwasher or washing machine ","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:53:48 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 6:55:31 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 7:02:35 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 7:16:33 PM GMT+1","Sometimes","Depends how much of it is 'solid state'.  E.g. mobile phone compared to white goods.","Yes","Yes","Websites;Youtube/Online Video;Book;'Educated' friend!","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 7:19:17 PM GMT+1","Yes","","No","Yes","Websites;Youtube/Online Video;Take it apart and have a look","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 7:19:22 PM GMT+1","No","","Yes","Yes","Take it apart and see what I find","Mobile phone / tablet","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 7:38:00 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 7:48:54 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 8:08:15 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video;Book;Manual","Mobile phone / tablet","Issues with sourcing replacement parts","No","Yes"
"2019/10/28 8:15:57 PM GMT+1","No","","No","Yes","Websites","Mobile phone / tablet;Computer / laptop","Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 8:16:44 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 8:19:42 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video;Previous experience of electrical and electronic repair.","Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","No","Yes"
"2019/10/28 8:21:42 PM GMT+1","Yes","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 8:30:07 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","No","Yes"
"2019/10/28 8:33:47 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video;Kitchen white goods","Mobile phone / tablet;Computer / laptop;Kitchen white goods","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 8:36:06 PM GMT+1","Sometimes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 8:41:20 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 8:43:16 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 8:43:56 PM GMT+1","No","","No","No","Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Not interested in self repair","Yes","Unsure"
"2019/10/28 8:44:26 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 8:45:08 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer","Yes","Yes"
"2019/10/28 8:47:28 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video;Book","Television;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 8:48:10 PM GMT+1","Yes","","No","Yes","Websites","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 8:48:19 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer","Yes","Yes"
"2019/10/28 8:49:37 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 8:51:37 PM GMT+1","No","","Yes","Yes","Websites;Take it apart and test to see what is broken/needs replacing","Computer / laptop","Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 8:57:24 PM GMT+1","No","","No","No","Youtube/Online Video","Computer / laptop","Issues with sourcing replacement parts","Maybe","No"
"2019/10/28 9:00:49 PM GMT+1","No","","Maybe","Yes","Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:01:01 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:01:05 PM GMT+1","Sometimes","Microprocessor boards - leave to the experts. Wiring and discrete components - worth having a go.","Maybe","Yes","Websites;Youtube/Online Video;Book;Manufacturers information.","Computer / laptop","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:01:59 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:06:36 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video;Book;Ask a friend","Mobile phone / tablet","Lack of access to appropriate tools;Lack of skill","Yes","Unsure"
"2019/10/28 9:11:53 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:12:27 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:12:52 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools","Maybe","No"
"2019/10/28 9:14:32 PM GMT+1","No","","No","No","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 9:14:54 PM GMT+1","No","","No","Yes","Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer","Yes","Unsure"
"2019/10/28 9:15:09 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video;Reverse engineer","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:15:53 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:16:22 PM GMT+1","No","","Yes","Yes","Websites","Mobile phone / tablet","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:18:28 PM GMT+1","No","","No","Maybe","Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 9:20:18 PM GMT+1","Sometimes","","Yes","Yes","Websites;Youtube/Online Video","Television;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:20:21 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:25:09 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video;Book;I'd just take it apart and note how it goes together","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:26:13 PM GMT+1","Sometimes","Computer components","Maybe","Maybe","Websites;Youtube/Online Video","Television;Mobile phone / tablet","Design choices by the manufacturer","Yes","Unsure"
"2019/10/28 9:26:39 PM GMT+1","Sometimes","Based on price and assumed lifespan of product","Yes","Yes","I would take it apart and see what I could see","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:28:03 PM GMT+1","Sometimes","If it comes apart and I can buy the parts. IE La Pavoni","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:28:24 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer","Yes","Yes"
"2019/10/28 9:29:16 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:32:52 PM GMT+1","No","","Yes","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 9:32:59 PM GMT+1","Sometimes","depends on complexity of item, given choice of something repairable or a one that is not, I would take the one that is repairable.","Maybe","Maybe","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:34:26 PM GMT+1","Sometimes","If the item is at a price point where I cannot afford to replace at full cost.","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:34:27 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:34:59 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:37:00 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools","Yes","Unsure"
"2019/10/28 9:37:45 PM GMT+1","No","","No","Yes","Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:39:10 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 9:39:24 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:41:35 PM GMT+1","No","","Maybe","Maybe","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer","Yes","Yes"
"2019/10/28 9:46:54 PM GMT+1","Sometimes","The item would appeal far more if components could be replaced relatively easily and cost effectively to extend life of product and reduce landfill. Perhaps a Dualit Toaster might be a good example ","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Kitchen appliances","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 9:49:27 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Maybe","Yes"
"2019/10/28 9:55:16 PM GMT+1","No","","Yes","Maybe","Websites;Youtube/Online Video;Book","Television;Computer / laptop","Design choices by the manufacturer","Yes","Yes"
"2019/10/28 9:58:37 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video;Book;Friends","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 10:01:57 PM GMT+1","Yes","","Maybe","Yes","Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools","Maybe","Yes"
"2019/10/28 10:02:18 PM GMT+1","Sometimes","Washing machine/boiler yes, TV etc No","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Maybe","Unsure"
"2019/10/28 10:03:08 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:12:48 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:13:21 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:19:49 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:20:38 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Computer / laptop","Lack of skill","Yes","Yes"
"2019/10/28 10:21:27 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:22:58 PM GMT+1","Sometimes","","Maybe","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:24:31 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:27:01 PM GMT+1","Yes","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:27:33 PM GMT+1","No","","No","No","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of skill","Maybe","Yes"
"2019/10/28 10:29:11 PM GMT+1","No","","No","Maybe","Youtube/Online Video","Mobile phone / tablet","Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:30:40 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:35:12 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:42:12 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 10:52:44 PM GMT+1","Sometimes","I accept that small, complex electrical appliances are unlikely to be repairable. ","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:52:53 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 10:56:51 PM GMT+1","Sometimes","","Maybe","Yes","Youtube/Online Video","Computer / laptop","Not interested in self repair","Maybe","Yes"
"2019/10/28 11:00:30 PM GMT+1","Sometimes","If it was something I would be using in an environment where the chances of accidental damage were high","Maybe","Yes","Websites","Mobile phone / tablet","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/28 11:00:56 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 11:07:40 PM GMT+1","No","","Yes","Yes","Websites","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 11:15:06 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 11:19:51 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 11:19:53 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of skill","Yes","Yes"
"2019/10/28 11:23:04 PM GMT+1","Yes","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 11:23:21 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Maybe","Yes"
"2019/10/28 11:30:08 PM GMT+1","Sometimes","The more expensive it is the easier to repair it should be","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer","Yes","Yes"
"2019/10/28 11:30:56 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 11:39:59 PM GMT+1","Sometimes","if it has a battery, can it be replaced?","Yes","Yes","Websites;Youtube/Online Video;take it to bits and see how it's put together","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 11:56:38 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of skill","Yes","Yes"
"2019/10/29 12:07:03 AM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 12:14:29 AM GMT+1","No","","Maybe","Maybe","Websites;workshop manual","Computer / laptop;workshop manual","Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 12:17:12 AM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/29 12:20:29 AM GMT+1","Sometimes","I can solder but that's pretty much it, so all I really want is ""can I get the back off""","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop;bike lights","Design choices by the manufacturer;Lack of skill","Yes","Unsure"
"2019/10/29 12:21:58 AM GMT+1","No","","No","Maybe","Youtube/Online Video","Mobile phone / tablet","Lack of skill","Maybe","Unsure"
"2019/10/29 12:25:24 AM GMT+1","Sometimes","","No","Maybe","Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 12:25:31 AM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 12:27:40 AM GMT+1","Sometimes","Things like phones, tablets etc I'd be happy to repair a cracked screen or replace a circuit board, so might check for availability of parts. Usually it's more a case that I don't consider it at purchase but am happy to take things apart and see if it's fixable if it happens to break. It would be a factor of something was known to be hard to repair (i.e. by design), I'd be more likely to avoid buying it.","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/29 12:35:34 AM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 12:35:56 AM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video;Pull it apart and see if I can work it out.","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 12:36:07 AM GMT+1","No","","No","Yes","Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of skill","Yes","Yes"
"2019/10/29 12:41:28 AM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Maybe","Unsure"
"2019/10/29 1:07:11 AM GMT+1","Sometimes","Depends what it is: something with moving parts (washing machine), yes.  Entirely electronic (television, iphone) no.","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 1:40:41 AM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 1:58:24 AM GMT+1","No","","No","No","Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 2:16:56 AM GMT+1","Sometimes","Depends on what tools I would need, and their price/availability","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 2:28:57 AM GMT+1","No","","No","Yes","Youtube/Online Video","Mobile phone / tablet","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 3:27:00 AM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 6:26:59 AM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop;Anything that broke","Design choices by the manufacturer","Yes","Yes"
"2019/10/29 6:37:36 AM GMT+1","Sometimes","Replacing batteries etc that aren't designed to be replaced.","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 6:44:53 AM GMT+1","No","","Maybe","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 6:51:34 AM GMT+1","Sometimes","Manufacturer","Yes","Yes","Websites;Youtube/Online Video;Friends","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/29 6:57:17 AM GMT+1","No","","Maybe","Yes","Youtube/Online Video;Just have a look and figure out how it works (toaster)","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 7:06:51 AM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","No","Yes"
"2019/10/29 7:30:56 AM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of skill","Yes","Yes"
"2019/10/29 7:34:47 AM GMT+1","No","","Yes","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 7:40:05 AM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
